Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
83,-65.48276,-64.30206,-87.84935,-90.23417,-76.84883,-92.82098,-63.88093,-69.54971,7.185496091842651,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.657578840284842,1.8606965174129355
84,-62.31464,-59.07633,-92.24117,-91.80579,-76.32454,-84.18068,-62.87944,-68.26257,7.269625186920166,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.679959308240081,1.882587064676617
85,-58.77737,-57.58913,-86.49861,-94.95719,-78.6278,-77.98732,-62.72498,-65.96181,7.35603666305542,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.70233977619532,1.9044776119402984
86,-56.46777,-57.92997,-82.18272,-90.30225,-84.99213,-76.44328,-63.56007,-66.04975,7.440701723098755,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.72472024415056,1.9263681592039803
87,-55.64761,-59.29285,-80.63977,-86.74561,-75.67098,-78.7292,-65.05494,-68.3213,7.52753758430481,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.7471007121057984,1.9482587064676615
88,-56.07824,-59.18236,-82.46449,-88.29984,-73.613,-89.05069,-65.2104,-68.29817,7.613015651702881,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.7694811800610375,1.9701492537313436
89,-57.91915,-57.54599,-93.33367,-94.44878,-77.14765,-81.19492,-64.21693,-65.79211,7.696433782577515,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.791861648016277,1.992039800995025
90,-58.50774,-57.30595,-86.92207,-93.02062,-82.53143,-76.65343,-62.79117,-66.29984,7.782366991043091,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.814242115971516,2.0139303482587065
91,-56.17203,-58.39258,-81.74062,-86.19666,-74.69773,-76.5936,-62.31441,-69.45301,7.865131139755249,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.836622583926755,2.0358208955223884
92,-53.78716,-58.04106,-81.42625,-84.22747,-73.73694,-80.25255,-62.36469,-69.94619,7.951354503631592,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.859003051881994,2.05771144278607
93,-52.32726,-55.24182,-82.01667,-87.2353,-79.13264,-81.43634,-63.87863,-65.88116,8.041131973266602,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.881383519837233,2.0796019900497518
94,-51.80139,-52.95716,-85.80673,-92.20054,-80.29693,-76.5584,-64.46058,-64.94325,8.12695598602295,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.903763987792472,2.101492537313433
95,-51.79685,-51.82623,-99.73767,-93.34938,-71.29459,-76.23749,-63.2067,-67.44926,8.210579872131348,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.926144455747712,2.1233830845771147
96,-51.88065,-51.85492,-86.02501,-91.66557,-70.28921,-79.38121,-62.62879,-71.66541,8.296619653701782,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.9485249237029496,2.145273631840796
97,-51.61423,-53.02547,-77.15934,-85.44505,-75.09074,-85.2466,-63.90394,-66.82021,8.381662845611572,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.9709053916581887,2.1671641791044776
98,-51.39816,-54.79647,-74.17411,-83.60287,-82.99939,-95.41856,-65.29895,-65.0372,8.468176126480103,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.993285859613428,2.1890547263681595
99,-51.61989,-55.28999,-73.96582,-82.76696,-71.19831,-90.23061,-63.30731,-67.90907,8.54883074760437,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,4.015666327568667,2.210945273631841
100,-52.29685,-54.13396,-77.66474,-84.85227,-68.94949,-87.40691,-62.17108,-74.72915,8.635351181030273,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,4.038046795523906,2.2328358208955223
101,-53.38811,-53.26915,-83.62701,-95.58769,-73.25003,-80.7829,-65.8738,-66.53451,8.72184681892395,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,4.060427263479145,2.254726368159204
102,-53.44337,-53.66291,-75.07056,-87.91992,-79.99663,-81.12419,-71.44648,-64.08738,8.809259176254272,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,4.082807731434384,2.2766169154228857
103,-52.04473,-54.56353,-72.91063,-80.62042,-71.53148,-89.59399,-62.98539,-66.26196,8.889501094818115,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,4.105188199389623,2.298507462686567
104,-50.54245,-54.28074,-74.08308,-79.24035,-70.11134,-83.18445,-59.72726,-76.5087,8.974341869354248,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,4.127568667344862,2.320398009950249
