Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
-48.9122,-52.59759,-79.54484,-72.95155,-61.5179,-64.67377,-70.96027,-91.87666,4.321162224,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.842654028,1.042654028
-49.29502,-53.16005,-85.85933,-74.65595,-60.55246,-64.82542,-68.13286,-91.14686,4.374082565,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.855687204,1.055687204
-50.04242,-54.07084,-95.0249,-78.18628,-61.14236,-66.68903,-66.78699,-85.17511,4.426236391,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.868720379,1.068720379
-51.01978,-55.57121,-85.10393,-87.12157,-63.4261,-71.59181,-66.90591,-81.34465,4.480867147,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.881753555,1.081753555
-52.19647,-57.05344,-81.22868,-90.19118,-68.11848,-74.93466,-69.37666,-82.7784,4.533315897,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.89478673,1.09478673
-52.64685,-57.38214,-80.58488,-82.31915,-68.81772,-69.06904,-74.09555,-81.28264,4.586869001,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.907819905,1.107819905
-52.63339,-56.86615,-81.65304,-79.35609,-64.96361,-66.78625,-94.50207,-80.89201,4.640831709,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.920853081,1.120853081
-51.9327,-55.83902,-86.9636,-79.60613,-62.9666,-66.40346,-74.5326,-80.07738,4.69686842,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.933886256,1.133886256
-50.66476,-54.6057,-90.13079,-82.24354,-62.69671,-68.3259,-68.995,-79.25327,4.750237465,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.946919431,1.146919431
-49.56717,-53.51875,-84.41885,-88.88274,-64.23235,-71.06949,-65.37322,-83.5328,4.803250551,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.959952607,1.159952607
