Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
58,-76.36206,-73.27785,-83.74567,-84.5745,-81.29284,-81.54856,-86.11662,-77.93227,15.12365794,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.277886497,3.777886497
59,-82.49708,-80.99855,-79.09817,-79.97866,-81.86017,-82.00204,-81.66608,-73.74087,15.37788415,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.342465753,3.842465753
60,-85.0403,-75.02333,-78.01353,-76.27679,-83.51172,-79.78745,-81.26567,-78.19413,15.63378024,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.40704501,3.90704501
61,-78.87428,-73.65808,-79.00284,-78.60622,-95.06529,-76.52515,-85.03809,-79.8972,15.88750815,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.471624266,3.971624266
62,-86.83736,-75.08037,-80.31717,-80.78355,-81.54296,-75.88445,-83.83411,-77.21136,16.14038038,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.536203523,4.036203523
63,-78.005,-73.14162,-78.15816,-77.68784,-81.04247,-79.44834,-80.77696,-77.48798,16.39359474,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.600782779,4.100782779
64,-83.76556,-76.94902,-77.89357,-83.13622,-80.28998,-79.33466,-83.90887,-76.61552,16.64706945,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.665362035,4.165362035
65,-75.62628,-68.09679,-75.76468,-74.16401,-83.76956,-78.10571,-73.33302,-73.29256,16.90096879,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.729941292,4.229941292
66,-75.34808,-71.05244,-72.99014,-73.39516,-77.20619,-78.51173,-80.27162,-73.41589,17.15678144,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.794520548,4.294520548
67,-79.84679,-75.44485,-79.04296,-80.53328,-78.59323,-79.00146,-78.75221,-75.26838,17.41042137,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.859099804,4.359099804
68,-72.62126,-69.53319,-77.78919,-78.9618,-83.82551,-82.19892,-86.7011,-78.88882,17.66942716,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.923679061,4.423679061
69,-74.47768,-71.68544,-73.44073,-77.44934,-76.94286,-78.90942,-87.09972,-78.98476,17.9281373,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.988258317,4.488258317
70,-78.68495,-75.5135,-76.53857,-73.62708,-75.79163,-73.08877,-79.12799,-77.0187,18.18658376,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.052837573,4.552837573
71,-72.12334,-68.00711,-74.83886,-76.13484,-79.58174,-80.96288,-75.28972,-77.94118,18.44369292,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.11741683,4.61741683
72,-72.16239,-69.05048,-76.36236,-76.08599,-80.54606,-79.71864,-78.15087,-77.61575,18.70134354,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.181996086,4.681996086
73,-73.8815,-72.06355,-79.3883,-78.9054,-78.76951,-81.22411,-80.99098,-74.54837,18.95999718,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.246575342,4.746575342
74,-75.75687,-67.40791,-74.88922,-79.14593,-79.5798,-78.95023,-80.79366,-78.05966,19.219697,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.311154599,4.811154599
75,-75.06462,-78.25638,-77.86469,-77.38615,-78.87327,-78.52345,-82.06542,-81.56056,19.47826457,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.375733855,4.875733855
76,-70.57945,-68.67633,-73.01982,-73.59506,-75.97449,-78.73156,-80.47964,-77.8339,19.73635674,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.440313112,4.940313112
77,-71.12612,-68.09274,-71.63752,-71.29568,-76.88531,-82.00271,-80.24061,-78.51967,19.99543691,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.504892368,5.004892368
78,-67.26208,-65.6056,-69.08619,-68.36983,-74.17272,-75.20135,-83.70581,-79.98233,20.25567889,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.569471624,5.069471624
79,-71.529,-66.69626,-70.96518,-68.0081,-73.2156,-74.24342,-76.68967,-75.37843,20.51196957,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.634050881,5.134050881
80,-68.12032,-66.32733,-69.62847,-67.73862,-74.10256,-74.55354,-76.98579,-77.93639,20.77080226,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.698630137,5.198630137
81,-69.72701,-69.22957,-70.67711,-70.41636,-76.02317,-74.30805,-70.81633,-71.90498,21.02976179,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.763209393,5.263209393
82,-72.22861,-68.071,-68.83806,-70.0407,-78.64857,-75.84634,-73.39259,-73.3356,21.2872057,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.82778865,5.32778865
